Num_Acc;an;mois;jour;hrmn;lat;long;dep
201800000001;18;1;24;1505;5055737;294992;590
201800000002;18;2;12;1015;5052936;293151;590
201800000003;18;3;4;1135;5051243;291714;590
201800000004;18;5;5;1735;5051974;289123;590
201800000005;18;6;26;1605;5051607;290605;590
201800000006;18;9;23;630;5052132;288837;590
201800000007;18;9;26;40;5052211;296652;590
201800000008;18;11;30;1715;5053146;293875;590
201800000009;18;2;18;1557;5053707;284896;590
201800000010;18;3;19;1530;5053639;281517;590
201800000011;18;5;28;1830;5054194;281987;590
201800000012;18;5;31;430;5058465;290868;590
201800000013;18;6;15;845;5061613;283783;590
201800000014;18;7;19;1022;5053196;280251;590
201800000015;18;10;31;1945;5057886;285234;590
201800000016;18;1;15;725;5051098;312175;590
201800000017;18;2;9;1515;5051293;316665;590
201800000018;18;4;7;1145;5048030;313456;590
201800000019;18;4;17;1610;5054792;314516;590
201800000020;18;5;27;1600;5054129;318902;590
201800000021;18;6;12;1745;5053925;307765;590
201800000022;18;7;12;1700;5050590;312429;590
201800000023;18;10;12;1845;5053476;310671;590
201800000024;18;12;5;1133;5052832;317434;590
201800000025;18;2;9;1115;5045918;303419;590
201800000026;18;4;14;1305;5047812;310784;590
201800000027;18;3;28;1700;5066745;245763;590
201800000028;18;6;17;1215;5069514;242763;590
201800000029;18;9;16;1430;5073020;241800;590
201800000030;18;1;13;1950;5076039;272401;590
201800000031;18;2;3;530;5073276;268824;590
201800000032;18;5;1;1515;5073981;269707;590
201800000033;18;7;6;1509;5073351;269505;590
201800000034;18;2;3;745;5063499;273765;590
201800000035;18;3;16;2115;5071101;276577;590
201800000036;18;5;19;1115;5063462;277135;590
201800000037;18;7;1;945;5066770;277069;590
201800000038;18;9;4;935;5063753;273673;590
201800000039;18;10;10;700;5062599;273764;590
201800000040;18;10;16;1130;5067304;278779;590
201800000041;18;11;21;1215;5063480;271447;590
201800000042;18;1;19;1400;5065537;262940;590
201800000043;18;7;9;730;5062626;255111;590
201800000044;18;9;29;1800;5062556;262903;590
201800000045;18;10;28;1845;5063912;259899;590
201800000046;18;10;28;20;5063898;259912;590
201800000047;18;2;10;845;5063272;323652;590
201800000048;18;11;10;1650;5060838;322961;590
201800000049;18;1;16;1215;5060049;316554;590
201800000050;18;3;22;1352;5057565;319834;590
201800000051;18;8;26;1530;5053908;326460;590
201800000052;18;8;31;1610;5057068;321425;590
201800000053;18;9;6;1250;5057674;319362;590
201800000054;18;10;12;1730;5056511;323544;590
201800000055;18;10;23;930;5053087;321930;590
201800000056;18;4;10;1520;5068934;296942;590
201800000057;18;6;2;649;5072335;300707;590
201800000058;18;10;26;1800;5069979;297120;590
201800000059;18;11;9;1855;5067501;300162;590
201800000060;18;12;17;1106;5071292;299974;590
201800000061;18;1;5;1800;5032068;351840;590
201800000062;18;1;21;330;5026489;347979;590
201800000063;18;2;2;2231;5024960;341413;590
201800000064;18;2;6;1825;5029368;327905;590
201800000065;18;9;17;1430;5026338;338517;590
201800000066;18;10;23;1845;5025869;334191;590
201800000067;18;11;30;1420;5027251;325313;590
201800000068;18;3;2;2230;5011192;394567;590
201800000069;18;3;3;1130;5012195;390521;590
201800000070;18;3;8;1330;5010249;387328;590
201800000071;18;3;15;1340;5012848;395496;590
201800000072;18;3;18;130;5012547;386769;590
201800000073;18;4;25;629;5009399;393044;590
201800000074;18;5;12;1800;5005212;387547;590
201800000075;18;6;15;2140;5006802;392867;590
201800000076;18;7;12;2300;5011315;393185;590
201800000077;18;8;25;1300;5006641;393376;590
201800000078;18;9;24;1720;5006925;383768;590
201800000079;18;10;14;1100;5012217;386039;590
201800000080;18;11;2;1650;5010269;387925;590
201800000081;18;11;16;1950;5010072;397305;590
201800000082;18;11;23;850;5010887;390095;590
201800000083;18;11;27;2145;5017510;395466;590
201800000084;18;4;8;600;5001776;405349;590
201800000085;18;5;13;1810;5000429;405287;590
201800000086;18;6;3;1230;5002882;402831;590
201800000087;18;7;9;45;5000682;405801;590
201800000088;18;3;22;155;5007831;352506;590
201800000089;18;4;17;925;5007630;365392;590
201800000090;18;5;30;15;5010640;353644;590
201800000091;18;6;12;1657;5010585;354180;590
201800000092;18;7;5;2110;5010650;353709;590
201800000093;18;7;29;345;5009996;359892;590
201800000094;18;8;15;1130;5011673;364089;590
201800000095;18;9;27;1640;5010616;353586;590
201800000096;18;10;8;1050;5009430;354043;590
201800000097;18;10;21;1500;5012243;359092;590
201800000098;18;11;21;1840;5009536;357744;590
201800000099;18;1;20;1300;5012280;340654;590
201800000100;18;2;17;1220;5013069;338400;590
201800000101;18;3;3;650;5012306;341491;590
201800000102;18;3;15;1825;5011949;341533;590
201800000103;18;3;26;1830;5013282;341709;590
201800000104;18;4;10;1415;5012606;340715;590
201800000105;18;4;3;1040;5011141;340750;590
201800000106;18;5;22;1315;5012707;341769;590
201800000107;18;6;1;1330;5012199;342028;590
201800000108;18;6;15;45;5011850;347853;590
201800000109;18;6;15;1710;5012748;340700;590
201800000110;18;9;18;530;5012674;344331;590
201800000111;18;10;5;1730;5012805;346442;590
201800000112;18;11;5;1630;5014634;335815;590
201800000113;18;11;27;1750;5013212;340264;590
201800000114;18;5;27;1830;5021603;318105;590
201800000115;18;5;27;1525;5020723;327766;590
201800000116;18;7;21;1750;5022120;326042;590
201800000117;18;8;5;1825;5021577;330035;590
201800000118;18;8;3;330;5022818;331964;590
201800000119;18;12;24;1800;5019919;331097;590
201800000120;18;1;27;2315;5014496;319800;590
201800000121;18;4;26;2300;5011780;317104;590
201800000122;18;7;19;1800;5006112;312359;590
201800000123;18;9;2;430;5013358;321532;590
201800000124;18;1;6;1900;5026158;349355;590
201800000125;18;4;12;830;5018992;349469;590
201800000126;18;4;14;1100;5018116;349098;590
201800000127;18;2;22;1135;5030458;313370;590
201800000128;18;3;29;1316;5032874;309514;590
201800000129;18;3;30;2145;5033107;308070;590
201800000130;18;4;22;2230;5026735;313908;590
201800000131;18;6;6;940;5027155;316014;590
201800000132;18;6;6;1445;5027761;310820;590
201800000133;18;6;16;1700;5027459;310067;590
201800000134;18;6;28;1120;5031633;313323;590
201800000135;18;8;10;2100;5027267;303702;590
201800000136;18;11;22;2110;5028442;309557;590
201800000137;18;2;17;1715;5047622;329660;590
201800000138;18;2;22;651;5048724;320071;590
201800000139;18;3;3;745;5050184;326769;590
201800000140;18;4;16;1000;5044808;325992;590
201800000141;18;5;5;1700;5049726;326542;590
201800000142;18;5;26;1020;5047741;323912;590
201800000143;18;6;7;715;5046114;321157;590
201800000144;18;6;8;1850;5045404;320258;590
201800000145;18;6;14;2000;5043629;323379;590
201800000146;18;7;18;2220;5047205;329625;590
201800000147;18;8;11;1130;5046814;326546;590
201800000148;18;8;19;725;5047841;321153;590
201800000149;18;9;5;815;5046246;313692;590
201800000150;18;9;30;945;5048156;320767;590
201800000151;18;10;7;1610;5046247;320254;590
201800000152;18;10;11;1630;5050121;324525;590
201800000153;18;11;17;500;5048337;325573;590
201800000154;18;11;28;830;5047821;320902;590
201800000155;18;12;27;705;5045501;319328;590
201800000156;18;1;8;810;5027105;381237;590
201800000157;18;3;1;1415;5027829;376508;590
201800000158;18;4;10;1500;5030491;397746;590
201800000159;18;4;17;1910;5029791;378559;590
201800000160;18;6;3;1130;5030747;374359;590
201800000161;18;8;12;1315;5030276;375372;590
201800000162;18;9;2;10;5027313;377683;590
201800000163;18;1;12;1425;5025591;366747;590
201800000164;18;3;7;1915;5026367;358011;590
201800000165;18;3;18;2145;5024378;371628;590
201800000166;18;4;26;1915;5027426;370720;590
201800000167;18;8;19;1115;5023765;358103;590
201800000168;18;10;10;1612;5024921;364528;590
201800000169;18;2;16;1624;5078079;166890;620
201800000170;18;3;7;1848;5085870;173293;620
201800000171;18;6;13;2235;5079876;167390;620
201800000172;18;8;19;1355;5081368;169462;620
201800000173;18;10;11;1230;5087298;174959;620
201800000174;18;12;11;1851;5072365;164825;620
201800000175;18;4;15;845;5033086;271723;620
201800000176;18;4;15;1225;5038960;278041;620
201800000177;18;4;24;1830;5031739;268878;620
201800000178;18;8;4;1730;5038573;282154;620
201800000179;18;8;26;630;5034506;269426;620
201800000180;18;8;27;745;5034511;269430;620
201800000181;18;9;19;1650;5036304;277335;620
201800000182;18;9;25;945;5039367;268420;620
201800000183;18;10;11;1145;5033070;271749;620
201800000184;18;11;25;625;5035082;278761;620
201800000185;18;11;27;2210;5036350;281973;620
201800000186;18;2;16;1525;5033286;291567;620
201800000187;18;2;16;1735;5033859;301421;620
201800000188;18;3;29;1215;5033143;298359;620
201800000189;18;9;27;1640;5036272;297803;620
201800000190;18;10;29;2020;5029194;302819;620
201800000191;18;3;2;1500;5083281;165962;620
201800000192;18;7;28;1830;5080625;174816;620
201800000193;18;8;5;1835;5079692;176447;620
201800000194;18;10;21;1730;5084546;160550;620
201800000195;18;10;22;730;5080841;172187;620
201800000196;18;11;5;1730;5081537;170179;620
201800000197;18;11;10;1825;5086913;174127;620
201800000198;18;11;24;1530;5081389;176108;620
201800000199;18;4;9;1335;5061424;163384;620
201800000200;18;5;4;1010;5066439;165320;620
201800000201;18;8;15;1615;5068028;163903;620
201800000202;18;9;15;1145;5063443;160076;620
201800000203;18;4;18;1750;5043178;267311;620
201800000204;18;7;13;1925;5051188;169315;620
201800000205;18;8;24;1600;5056189;161412;620
201800000206;18;8;11;1115;5056715;169832;620
201800000207;18;9;29;1910;5052133;164722;620
201800000208;18;11;17;1430;5052514;162896;620
201800000209;18;2;4;1722;5063717;239036;620
201800000210;18;3;7;725;5063380;226290;620
201800000211;18;4;5;1300;5063349;240901;620
201800000212;18;6;10;1800;5063531;230577;620
201800000213;18;6;14;815;5063797;225655;620
201800000214;18;6;21;1450;5069467;235561;620
201800000215;18;7;9;445;5063805;241241;620
201800000216;18;10;17;1450;5062565;234829;620
201800000217;18;10;24;1000;5063717;240934;620
201800000218;18;10;29;720;5064846;236145;620
201800000219;18;11;16;1332;5063675;241361;620
201800000220;18;11;24;530;5064123;241237;620
201800000221;18;3;1;915;5017290;163644;800
201800000222;18;4;11;1545;5010796;161532;800
201800000223;18;6;7;1740;5009610;164159;800
201800000224;18;6;10;1850;5017596;157859;800
201800000225;18;6;25;2140;5016059;156019;800
201800000226;18;7;16;2030;5017914;149319;800
201800000227;18;8;1;1900;5007682;161003;800
201800000228;18;8;14;1230;5014203;161346;800
201800000229;18;10;4;1745;5013038;150174;800
201800000230;18;10;14;1345;5012909;161633;800
201800000231;18;11;3;1720;5011688;165599;800
201800000232;18;1;2;1640;5000804;267079;800
201800000233;18;3;31;1115;4999609;266388;800
201800000234;18;6;3;645;5000375;264871;800
201800000235;18;7;7;625;5006713;267660;800
201800000236;18;7;23;1123;5003975;272710;800
201800000237;18;1;25;945;4959855;404784;20
201800000238;18;4;3;1910;4952564;375462;20
201800000239;18;4;24;745;4952690;375523;20
201800000240;18;8;25;2035;4960686;373228;20
201800000241;18;10;19;700;4951989;375201;20
201800000242;18;11;23;1650;4947916;391670;20
201800000243;18;12;7;800;4954384;376781;20
201800000244;18;1;10;1210;4896681;328306;20
201800000245;18;4;15;1434;4898667;335821;20
201800000246;18;4;17;1926;4900594;322624;20
201800000247;18;4;21;1925;4897518;330591;20
201800000248;18;5;2;1123;4889759;340623;20
201800000249;18;6;5;1800;4904437;327758;20
201800000250;18;7;8;630;4896499;331876;20
201800000251;18;9;26;1944;4893633;342007;20
201800000252;18;9;27;1330;4895005;332989;20
201800000253;18;9;27;1345;4894573;345987;20
201800000254;18;10;2;2040;4896244;333051;20
201800000255;18;10;4;1630;4899086;337105;20
201800000256;18;10;17;1945;4889540;344769;20
201800000257;18;1;10;1940;4992110;408369;20
201800000258;18;3;25;1300;4992433;407923;20
201800000259;18;5;3;1640;4990960;409055;20
201800000260;18;6;3;1050;4995690;403659;20
201800000261;18;6;8;925;4992216;414037;20
201800000262;18;7;24;1855;4993371;403134;20
201800000263;18;8;12;1927;4996369;398645;20
201800000264;18;10;4;1815;4997416;407158;20
201800000265;18;11;23;1000;4992529;413344;20
201800000266;18;1;12;1730;4928661;181959;600
201800000267;18;1;11;1825;4921959;188401;600
201800000268;18;1;21;1500;4920627;186188;600
201800000269;18;2;16;600;4917391;191236;600
201800000270;18;11;21;1005;4931125;188599;600
201800000271;18;12;9;1820;4930473;186803;600
201800000272;18;1;27;730;4933984;221013;600
201800000273;18;5;3;1730;4930783;223766;600
201800000274;18;7;4;1650;4933690;219672;600
201800000275;18;7;11;1630;4926493;220385;600
201800000276;18;7;17;1730;4933312;219883;600
201800000277;18;7;22;1845;4930050;219718;600
201800000278;18;9;14;830;4935144;223596;600
201800000279;18;10;3;1240;4936378;221636;600
201800000280;18;7;7;1830;4934335;243335;600
201800000281;18;9;11;1905;4932944;246398;600
201800000282;18;9;21;1130;4932437;244206;600
201800000283;18;7;15;1900;4934828;228665;600
201800000284;18;8;8;1740;4935495;231735;600
201800000285;18;8;10;1120;4936975;225588;600
201800000286;18;9;16;320;4936615;216094;600
201800000287;18;9;17;2115;4932281;225760;600
201800000288;18;9;19;1945;4929846;234676;600
201800000289;18;9;26;840;4931326;235825;600
201800000290;18;12;29;1810;4931325;233557;600
201800000291;18;1;28;1830;4938978;293429;600
201800000292;18;2;2;2240;4933743;288956;600
201800000293;18;2;2;1500;4936865;277788;600
201800000294;18;10;13;1515;4935331;271879;600
201800000295;18;12;17;912;4940243;272626;600
201800000296;18;1;19;1740;4950538;619348;570
201800000297;18;8;28;2030;4945943;617761;570
201800000298;18;10;5;840;4942706;616491;570
201800000299;18;10;7;1740;4943842;621154;570
201800000300;18;10;15;650;4950350;627143;570
201800000301;18;1;7;1550;4920271;258191;600
201800000302;18;2;24;1825;4919877;257920;600
201800000303;18;4;18;1600;4920657;257820;600
201800000304;18;4;19;910;4922062;259253;600
201800000305;18;4;19;1715;4922482;261499;600
201800000306;18;6;6;1545;4919527;263234;600
201800000307;18;7;25;1415;4922482;261499;600
201800000308;18;10;18;600;4921583;266958;600
201800000309;18;2;16;1834;4918238;223472;600
201800000310;18;2;25;510;4922863;228768;600
201800000311;18;4;11;915;4919394;232817;600
201800000312;18;2;25;510;4917018;224171;600
201800000313;18;6;12;710;4915640;224437;600
201800000314;18;7;3;1817;4916997;225752;600
201800000315;18;7;11;1500;4916638;225029;600
201800000316;18;10;14;1930;4919993;226197;600
201800000317;18;10;20;1208;4916692;224852;600
201800000318;18;10;25;1814;4922996;229347;600
201800000319;18;11;17;1445;4918015;223504;600
201800000320;18;11;22;600;4918060;223544;600
201800000321;18;11;24;740;4917375;223141;600
201800000322;18;12;14;2130;4918321;221239;600
201800000323;18;2;20;1835;4919904;248957;600
201800000324;18;3;5;1155;4919029;248626;600
201800000325;18;6;13;1056;4923141;245887;600
201800000326;18;7;18;840;4922083;246687;600
201800000327;18;9;12;1245;4918319;249149;600
201800000328;18;9;16;1950;4918975;246294;600
201800000329;18;11;22;1700;4917706;249788;600
201800000330;18;12;1;2230;4918976;248460;600
201800000331;18;12;2;1540;4921179;243417;600
201800000332;18;11;23;1730;4921124;242684;600
201800000333;18;12;2;1800;4922878;252903;600
201800000334;18;12;21;1000;4921175;243992;600
201800000335;18;1;2;1630;4911342;270237;600
201800000336;18;2;14;2041;4908655;273319;600
201800000337;18;2;16;1545;4914767;287194;600
201800000338;18;5;8;2020;4911788;271161;600
201800000339;18;7;14;2330;4914769;287189;600
201800000340;18;7;19;500;4911414;270451;600
201800000341;18;8;13;810;4914712;280957;600
201800000342;18;9;4;950;4914771;287185;600
201800000343;18;9;8;900;4908840;273802;600
201800000344;18;10;7;1130;4909369;270111;600
201800000345;18;11;7;1231;4908850;273827;600
201800000346;18;12;13;740;4920624;273983;600
201800000347;18;12;25;2228;4915867;266399;600
201800000348;18;2;1;1650;4936887;112969;760
201800000349;18;3;23;1710;4940098;116659;760
201800000350;18;4;28;130;4940059;116777;760
201800000351;18;6;17;2315;4940982;127392;760
201800000352;18;10;23;1740;4935150;112793;760
201800000353;18;10;26;745;4942880;126827;760
201800000354;18;10;27;245;4938069;118744;760
201800000355;18;1;29;915;4955344;35011;760
201800000356;18;6;21;800;4954817;33492;760
201800000357;18;8;18;1525;4955970;32090;760
201800000358;18;8;21;1205;4947427;29727;760
201800000359;18;8;31;1155;4948340;35650;760
201800000360;18;9;1;445;4949631;32065;760
201800000361;18;10;9;1100;4952947;34280;760
201800000362;18;1;6;1000;4979575;120309;760
201800000363;18;3;23;1530;4975383;158486;760
201800000364;18;4;9;905;4973318;143715;760
201800000365;18;9;24;1010;4976560;138739;760
201800000366;18;10;26;905;4973258;143950;760
201800000367;18;11;6;1730;4977105;151331;760
201800000368;18;11;28;1800;4973910;144198;760
201800000369;18;12;11;1745;4980239;119078;760
201800000370;18;2;23;1230;4957219;150202;760
201800000371;18;3;6;735;4959814;163565;760
201800000372;18;3;12;910;4959146;169314;760
201800000373;18;5;14;1040;4962863;153723;760
201800000374;18;8;8;1700;4958067;166592;760
201800000375;18;10;6;845;4965714;167158;760
201800000376;18;11;6;1945;4961125;154140;760
201800000377;18;4;11;1;4965685;73034;760
201800000378;18;4;13;1545;4961347;71614;760
201800000379;18;6;2;2015;4966170;72621;760
201800000380;18;6;26;1800;4961844;74950;760
201800000381;18;7;4;705;4964697;77056;760
201800000382;18;7;4;1000;4963928;76185;760
201800000383;18;7;9;1130;4964877;77670;760
201800000384;18;9;26;1215;4965674;71889;760
201800000385;18;10;12;730;4964028;76919;760
201800000386;18;12;4;1817;4961260;66160;760
201800000387;18;12;13;1450;4960320;69560;760
201800000388;18;5;16;1620;4954617;69715;760
201800000389;18;6;9;250;4951692;77644;760
201800000390;18;9;17;1825;4952344;74967;760
201800000391;18;11;2;1030;4947728;75597;760
201800000392;18;12;16;250;4952045;74715;760
201800000393;18;2;17;1810;4961196;92778;760
201800000394;18;4;1;1900;4960730;95821;760
201800000395;18;4;20;1630;4958684;96437;760
201800000396;18;5;13;1915;4954274;94704;760
201800000397;18;5;24;1325;4956203;89379;760
201800000398;18;10;1;1200;4964884;101521;760
201800000399;18;11;1;1455;4958030;95400;760
201800000400;18;12;17;1030;4953456;96821;760
201800000401;18;3;16;1828;4892550;116650;270
201800000402;18;3;28;835;4890902;136764;270
201800000403;18;8;29;924;4895600;92042;270
201800000404;18;10;30;1100;4899577;115569;270
201800000405;18;1;10;1755;4895920;94133;270
201800000406;18;1;27;300;4897410;78550;270
201800000407;18;2;14;640;4905938;91065;270
201800000408;18;3;25;125;4896177;95982;270
201800000409;18;3;26;735;4899729;110126;270
201800000410;18;4;28;400;4901133;110067;270
201800000411;18;5;5;930;4903843;103123;270
201800000412;18;5;24;2000;4894334;103153;270
201800000413;18;5;31;2110;4906190;92353;270
201800000414;18;6;16;1454;4896176;92378;270
201800000415;18;6;29;1520;4900226;104999;270
201800000416;18;7;6;1400;4900340;105848;270
201800000417;18;7;12;1810;4907307;90839;270
201800000418;18;7;27;1600;4898620;102242;270
201800000419;18;7;28;1055;4896638;96705;270
201800000420;18;8;4;1300;4894430;87620;270
201800000421;18;8;11;2120;4896670;98174;270
201800000422;18;8;31;1450;4899943;110803;270
201800000423;18;9;13;1840;4902325;96858;270
201800000424;18;10;23;1930;4895636;93390;270
201800000425;18;11;3;755;4893092;91927;270
201800000426;18;12;14;1620;4897272;85374;270
201800000427;18;3;3;1530;4901049;142366;270
201800000428;18;4;8;1240;4903252;139942;270
201800000429;18;5;10;5;4894174;143510;270
201800000430;18;5;12;1730;4904918;130258;270
201800000431;18;6;16;1400;4899461;134422;270
201800000432;18;6;30;630;4901382;137958;270
201800000433;18;9;5;805;4901606;138346;270
201800000434;18;9;10;1600;4897545;129708;270
201800000435;18;9;24;835;4897558;128959;270
201800000436;18;9;26;1930;4901360;138730;270
201800000437;18;10;23;1930;4901471;145216;270
201800000438;18;11;25;1930;4898550;125073;270
201800000439;18;3;11;1900;4919668;140570;270
201800000440;18;3;14;1440;4924623;141560;270
201800000441;18;6;1;1705;4925596;143941;270
201800000442;18;6;3;1400;4925057;143906;270
201800000443;18;6;17;1400;4923624;139690;270
201800000444;18;7;9;2210;4919512;138312;270
201800000445;18;7;27;1055;4928137;149799;270
201800000446;18;8;26;1900;4925345;150504;270
201800000447;18;11;15;1045;4924567;141302;270
201800000448;18;4;16;2100;4920458;166653;270
201800000449;18;6;29;2005;4918542;150182;270
201800000450;18;10;4;1205;4909635;160980;270
201800000451;18;10;27;1930;4919440;160010;270
201800000452;18;12;1;1845;4912574;150371;270
201800000453;18;4;6;1210;4919740;112470;270
201800000454;18;8;1;750;4918497;116956;270
201800000455;18;8;22;1615;4906119;117052;270
201800000456;18;9;29;840;4907842;116371;270
201800000457;18;11;29;1009;4913385;118661;270
201800000458;18;1;8;840;4915398;136355;270
201800000459;18;2;5;1230;4915228;134079;270
201800000460;18;2;27;1010;4916084;133277;270
201800000461;18;3;25;1440;4915433;134803;270
201800000462;18;5;7;1435;4915294;140368;270
201800000463;18;6;30;1200;4906414;137444;270
201800000464;18;7;24;820;4917309;134154;270
201800000465;18;8;31;1000;4913737;128175;270
201800000466;18;9;2;1945;4915747;134579;270
201800000467;18;9;21;825;4911975;121545;270
201800000468;18;9;23;1;4907256;122387;270
201800000469;18;11;7;1120;4914742;137861;270
201800000470;18;11;10;1740;4910488;129156;270
201800000471;18;11;15;1855;4914572;131994;270
201800000472;18;11;23;1900;4918412;125378;270
201800000473;18;12;11;800;4916289;132380;270
201800000474;18;12;12;1900;4906452;137763;270
201800000475;18;12;20;2100;4914675;139602;270
201800000476;18;2;24;930;4932970;115390;270
201800000477;18;5;2;1700;4930365;113003;270
201800000478;18;5;28;1715;4930478;112108;270
201800000479;18;6;29;1530;4931899;115754;270
201800000480;18;7;26;2115;4932827;123002;270
201800000481;18;8;26;600;4933764;119131;270
201800000482;18;9;6;710;4932146;123025;270
201800000483;18;4;1;1210;4805434;-173141;350
201800000484;18;5;8;1645;4801521;-174564;350
201800000485;18;6;21;2100;4803172;-176105;350
201800000486;18;11;13;1057;4802378;-175675;350
201800000487;18;12;14;800;4802356;-174724;350
201800000488;18;2;26;1815;4815235;-157903;350
201800000489;18;4;9;900;4824313;-132821;350
201800000490;18;6;20;845;4817395;-138209;350
201800000491;18;6;29;1737;4822106;-134691;350
201800000492;18;9;26;1850;4814000;-158249;350
201800000493;18;12;12;1930;4820992;-150907;350
201800000494;18;6;2;1625;4805876;-179446;350
201800000495;18;7;8;1210;4810245;-187465;350
201800000496;18;7;31;2015;4806352;-184971;350
201800000497;18;11;24;1630;4806077;-187576;350
201800000498;18;1;8;745;4823344;-140619;350
201800000499;18;2;22;1240;4828490;-143598;350
201800000500;18;6;23;1045;4826310;-139828;350
201800000501;18;7;14;1100;4835932;-160516;350
201800000502;18;7;27;1535;4839732;-138274;350
201800000503;18;8;2;540;4838200;-126688;350
201800000504;18;11;9;1945;4838147;-121347;350
201800000505;18;11;11;510;4837554;-149778;350
201800000506;18;11;21;2030;4845573;-147994;350
201800000507;18;12;21;1745;4840294;-133941;350
201800000508;18;1;6;1345;4773470;-204986;350
201800000509;18;1;23;1055;4771123;-208947;350
201800000510;18;1;24;2010;4770813;-207279;350
201800000511;18;2;12;1735;4769243;-200290;350
201800000512;18;3;10;1535;4765760;-208427;350
201800000513;18;7;9;1745;4764916;-208667;350
201800000514;18;10;16;2130;4767217;-208792;350
201800000515;18;11;14;620;4770105;-205564;350
201800000516;18;11;15;2115;4772513;-196643;350
201800000517;18;12;11;725;4769272;-205722;350
201800000518;18;12;22;1122;4764881;-208753;350
201800000519;18;12;23;2225;4765160;-207679;350
201800000520;18;12;25;830;4766292;-206350;350
201800000521;18;2;7;1430;4791532;-189900;350
201800000522;18;2;21;745;4793098;-173843;350
201800000523;18;3;8;1800;4796305;-172641;350
201800000524;18;3;17;1714;4802469;-178113;350
201800000525;18;6;24;910;4792958;-174270;350
201800000526;18;6;30;1010;4795749;-179201;350
201800000527;18;7;26;1745;4798921;-180729;350
201800000528;18;8;6;1325;4792854;-168174;350
201800000529;18;8;30;1545;4798250;-178861;350
201800000530;18;1;2;1520;4861603;-210363;350
201800000531;18;4;21;2015;4857539;-207629;350
201800000532;18;5;19;1800;4858953;-202580;350
201800000533;18;5;29;650;4858252;-205829;350
201800000534;18;6;17;300;4862995;-209644;350
201800000535;18;7;9;1045;4861824;-209548;350
201800000536;18;8;5;1140;4861923;-213723;350
201800000537;18;10;9;2015;4860246;-208142;350
201800000538;18;11;8;1045;4861887;-210610;350
201800000539;18;5;25;1820;4800697;-154771;350
201800000540;18;6;2;1125;4795234;-156751;350
201800000541;18;6;20;1710;4796768;-152695;350
201800000542;18;9;27;840;4795730;-148919;350
201800000543;18;9;27;1610;4796140;-144148;350
201800000544;18;10;11;905;4791928;-153404;350
201800000545;18;12;26;920;4796316;-151645;350
201800000546;18;1;10;1345;4838109;-249410;220
201800000547;18;4;5;1300;4843574;-242670;220
201800000548;18;6;3;650;4848919;-254419;220
